"";"county_name";"crime_rate_per_100000";"FIPS_ST";"FIPS_ST_FIPS_CTY";"FIPS_CTY"
"0";"St. Louis city, MO";"1791.995377";"29";"29510";"510"
"1";"Crittenden County, AR";"1754.914968";"5";"5035";"035"
"2";"Alexander County, IL";"1664.700485";"17";"17003";"003"
"3";"Kenedy County, TX";"1456.31068";"48";"48261";"261"
"4";"De Soto Parish, LA";"1447.40243";"22";"22031";"031"
"5";"Baltimore city, MD";"1419.5375689999998";"24";"24510";"510"
"6";"Shelby County, TN";"1315.0037519999998";"47";"47157";"157"
"7";"Marlboro County, SC";"1253.437132";"45";"45069";"069"
"8";"Storey County, NV";"1217.656012";"32";"32029";"029"
"9";"District of Columbia, DC";"1216.801325";"11";"11001";"001"
"10";"Dillon County, SC";"1165.583272";"45";"45033";"033"
"11";"Scott County, MO";"1163.145839";"29";"29201";"201"
"12";"Philadelphia County, PA";"1150.2963300000001";"42";"42101";"101"
"13";"Pershing County, NV";"1148.756725";"32";"32027";"027"
"14";"Greenwood County, SC";"1140.226324";"45";"45047";"047"
"15";"Madison County, TN";"1138.4238300000002";"47";"47113";"113"
"16";"Davidson County, TN";"1129.513728";"47";"47037";"037"
"17";"Marion County, IN";"1083.5081189999999";"18";"18097";"097"
"18";"Wayne County, MI";"1065.188284";"26";"26163";"163"
"19";"Jackson County, MO";"1026.623686";"29";"29095";"095"
"20";"Northwest Arctic Borough, AK";"1014.964216";"2";"2188";"188"
"21";"Pemiscot County, MO";"998.7095326";"29";"29155";"155"
"22";"Iberville Parish, LA";"974.0162436";"22";"22047";"047"
"23";"Pulaski County, AR";"959.9165822999998";"5";"5119";"119"
"24";"Jefferson County, AR";"959.1343197999998";"5";"5069";"069"
"25";"Miller County, AR";"956.1771347000001";"5";"5091";"091"
"26";"Muskogee County, OK";"954.4400666000001";"40";"40101";"101"
"27";"Barnwell County, SC";"953.9310095000001";"45";"45011";"011"
"28";"Tangipahoa Parish, LA";"952.8593755";"22";"22105";"105"
"29";"Marion County, SC";"941.6313295";"45";"45067";"067"
"30";"Dillingham Census Area, AK";"938.1237525";"2";"2070";"070"
"31";"Dougherty County, GA";"930.4176661";"13";"13095";"095"
"32";"Carter County, OK";"930.0694973999999";"40";"40019";"019"
"33";"Genesee County, MI";"922.7783983999999";"26";"26049";"049"
"34";"Macon County, AL";"919.3417310000001";"1";"1087";"087"
"35";"Milwaukee County, WI";"912.6349471000001";"55";"55079";"079"
"36";"Richland County, SC";"911.4452882000002";"45";"45079";"079"
"37";"Grundy County, TN";"911.2461105000001";"47";"47061";"061"
"38";"Greene County, AL";"903.4766697000001";"1";"1063";"063"
"39";"Rock County, MN";"892.8571429";"27";"27133";"133"
"40";"San Joaquin County, CA";"887.1644385";"6";"6077";"077"
"41";"Pottawattamie County, IA";"873.5225606";"19";"19155";"155"
"42";"Nolan County, TX";"871.1844117999999";"48";"48353";"353"
"43";"Kodiak Island Borough, AK";"856.0311284";"2";"2150";"150"
"44";"Winnebago County, IL";"854.9331535";"17";"17201";"201"
"45";"Suffolk County, MA";"831.2342903";"25";"25025";"025"
"46";"Saginaw County, MI";"828.830479";"26";"26145";"145"
"47";"Dallas County, AL";"828.6503477000001";"1";"1047";"047"
"48";"Fulton County, GA";"826.1767583";"13";"13121";"121"
"49";"Anchorage Municipality, AK";"824.7217146";"2";"2020";"020"
