"";"FIPS";"CountyName";"StateName";"NumberOfSchools";"NumberOfHospitals";"AverageHospitalRating";"UnemploymentRate";"ZHVIPerSqft_AllHomes";"AverageHousePrice";"MedianRentalPrice_AllHomes"
"0";"01001";"Autauga";"Alabama";"15";"1";"4.00";"3.60";"72.56";"114483.67";"1255.21"
"1";"01003";"Baldwin";"Alabama";"47";"4";"3.00";"3.60";"90.39";"164861.69";"1165.94"
"2";"01069";"Houston";"Alabama";"31";"5";"3.50";"4.10";"72.94";"114941.00";"975.63"
"3";"01073";"Jefferson";"Alabama";"226";"14";"2.75";"3.70";"68.25";"99759.77";"855.86"
"4";"01081";"Lee";"Alabama";"37";"1";"4.00";"3.60";"74.79";"148163.22";"1143.89"
"5";"01097";"Mobile";"Alabama";"121";"7";"2.00";"4.70";"60.36";"93971.65";"834.40"
"6";"01113";"Russell";"Alabama";"19";"2";"4.00";"4.10";"63.40";"103098.47";"1105.92"
"7";"01115";"Saint Clair";"Alabama";"28";"1";"";"3.50";"82.59";"134092.72";"1259.58"
"8";"01117";"Shelby";"Alabama";"53";"3";"3.00";"2.90";"113.08";"164133.33";"1224.22"
"9";"02020";"Anchorage";"Alaska";"100";"9";"3.00";"5.60";"166.97";"250916.31";"1752.62"
"10";"02090";"Fairbanks North Star";"Alaska";"37";"3";"3.00";"6.00";"116.12";"197946.78";"1536.22"
"11";"04003";"Cochise";"Arizona";"84";"8";"1.00";"5.60";"78.80";"124720.31";"957.38"
"12";"04005";"Coconino";"Arizona";"75";"4";"4.00";"5.40";"142.06";"241994.64";"1815.00"
"13";"04013";"Maricopa";"Arizona";"1246";"73";"3.05";"4.10";"106.36";"178057.09";"1248.05"
"14";"04015";"Mohave";"Arizona";"70";"5";"2.25";"5.70";"94.92";"144750.96";"1058.40"
"15";"04019";"Pima";"Arizona";"386";"21";"2.00";"4.40";"99.49";"155807.28";"1102.65"
"16";"04021";"Pinal";"Arizona";"143";"6";"3.00";"4.90";"75.57";"142070.52";"979.52"
"17";"04025";"Yavapai";"Arizona";"107";"5";"3.00";"4.40";"117.07";"199438.70";"1176.41"
"18";"04027";"Yuma";"Arizona";"72";"2";"2.00";"16.90";"84.70";"117031.42";"981.89"
"19";"05007";"Benton";"Arkansas";"68";"6";"3.50";"2.80";"74.54";"121924.90";"1070.92"
"20";"05031";"Craighead";"Arkansas";"36";"6";"3.00";"3.00";"60.98";"94221.84";"997.17"
